fax,name,url,phone,address,email
 ,    INFINITE FOCUS CONSULTING ENGINEERS,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1836/0,046 9732035,"BALLYKILLEN,EDENDERRY,CO. OFFALY, ",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1834/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
 ,"    Rathcroghan Design,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1824/0,086 2328484,"Ballyconboy,,Ballinagare,,Castlerea,,Co. Roscommon.",  
 ,  c/o Stephen Dowds Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1835/0, ,"5 Mary Street,Galway, , ",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1833/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
 ,    GOLDER ASSOCIATES IRELAND LTD.,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/EX18001/0,045 874411,"TOWN CENTRE HOUSE,NAAS,CO. KILDARE, ",  
 ,c/o   John Healy,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1834/0, ,"Suite 21,Oran Town Centre,Oranmore,Co. Galway",  
 ,  Juan Sotuparra,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1815/0, ,"Mezzanine Level,Geata na Cathrach,Fairgreen,Galway",  
,"    Waldron & Associates,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/186/0,094 9372120,"The Square,,Claremorris,,Co. Mayo., ",
,  Tony O Leary,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1832/0,061 6841694,"Whitegate,Co. Clare, , ",  
 ,  C/O  GERARD MCDONALD,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/189/0,086-3170976,"KILLEENMORE,KILLEIGH,TULLAMORE,CO OFFALY",  
 ,"    Morris Lohan & Associates,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/185/0, ,"Consulting Engineers Ltd.,,22 Castle View Terrace,,Castle Street,,Roscommon Town, Co. Roscommon.",  
 ,"  C/O PATRICK LITTLE, AXIS ARCHITECTURE",http://www.eplanning.ie/OffalyCC/AppFileRefDetails/fx18001/0,057-93-29628,"19 HIGH STREET,TULLAMORE,CO. OFFALY, ",  
 ,  Tom  Phillips and Associates,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/187/0, ,"80 Harcourt Street,Dublin 2, , ",  
,c/o Mr Vincent Costello,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/184/0,,"New Inn,Ballinasloe,Co. Galway , ",
,"c/o Mr Oliver Higgins, Consulting Engineers",http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1845/0,,"Unit 4B Oranmore Business Pk,Oranmore,Co Galway H91 Y4A6, ",
 ,c/o  Padraic Hession & Assoc,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1843/0, ,"Unit 6 Galway Technology Park,Parkmore,Galway, ",  
 ,    APK Architects & Engineers,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1840/0, ,"118 Abbeyville,,Roscommon., , ",  
 ,"    Murphy & McGerr Architecture Ltd.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/189/0, ,"1st Floor, 6 Centre Court,,Blyry Business & Commercial Park,,Athlone,,Co. Westmeath.",  
 ,c/o   Enda O Malley,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1837/0,0863567851,"Bunowen,Ballyconneely, ,Co Galway, ",  
 ,  c/o Corbwell Design,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1836/0,0818332200,"Suite 1, Unit 17,Claregalway Corporate Pk,Claregalway, ",  
 ,  c/o Tommy Keane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1850/0,093 55966,"Beaghmore,Caherlistrane,Co Galway, ",  
090 9688516,  Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1853/0,0909688516,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",  
,c/o Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1851/0,,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",
 ,  Liam Loughrey,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1840/0, ,"9 Bachelors Walk,Ballinasloe,Co. Galway, ",  
 ,  c/o Tobin Consulting Eng.,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1848/0, ,"Fairgreen House,Fairgreen Road,Galway, ",  
 ,"Mr Michael Rowley,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1839/0, ,"Cloonfinish,,Swinford,,Co. Mayo., ",  
 ,C/o   OPC Design & Planning,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1847/0,091-870283,"Main Street,Loughrea,Co. Galway, ",  
 ,"    Brandon O'Brien Ltd.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1837/0,090 6625005,"Consulting Engineers,,11 Abbey Street,,Roscommon., ",  
 ,  Oliver Higgins,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1846/0,091 790748,"Unit 4b,Oranmore Business Park,Oranmore,Co. Galway",  
 ,  NICOLA RYAN,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/187/0,01-441 0001,"STUDIO RED ARCHITECTS,OFFICE 5,64 DAME STREET, DUBLIN 2, ",  
094 9643376,  & Associates Deane ,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/185/0,094 9643079,"Old Church Road,Williamstown,Co Galway, ",  
 ,"  Edward Conlon,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1836/0,09066665341,"Conlon Consulting & Engineering,,Office 1,,CL Building,,Racecourse Road, Roscommon.",  
 ,  C/O GORDON DUNNE,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/185/0, ,"5 CHANCERY PARK CLOSE,TULLAMORE,CO. OFFALY, ",  
 ,  James O'Malley,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1852/0, ,"Drumhill,Ballinrobe,Co. Mayo, ",  
 ,  C/O JOHN MADDEN & ASSOCIATES,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/184/0,044-9344347,"BLACKHALL STREET,MULLINGAR,CO. WESTMEATH, ",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1835/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
 ,"    INFINITE FOCUS, CONSULTANT ENGINEERS",http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1838/0, ,"KERRY LANE,BALLYKILLEN,EDENDERRY,CO. OFFALY",  
 ,"c/o  Proinsias O Raghallaigh,",http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1831/0, ,"Baile Eamonn,,An Spideal,,Co. na Gaillimhe., ",  
,C/O BRIAN CONNOLLY ASSOC ,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/186/0,045-892211,"THE STUDIO,WOODS WAY,CLANE,CO KILDARE",
 ,    Ryan and Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/183/0,091 520400,"50 Lr Salthill,Galway, , ",  
 ,  C/O PATRICK  LITTLE,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1841/0,057-9329628,"AXIS ARCHITECTURE,19 HIGH STREET,TULLAMORE,CO. OFFALY.",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1831/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
 ,    CROSS ARCHITECT & BUILDING SURVEYOR,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1839/0, ,"NO. 11 AN CROIS,ALLENWOOD CROSS, ALLENWOOD,,NAAS,CO. KILDARE",  
 ," c/o   PROFE Building, Engineering & Planning",http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1833/0, ,"Baile Eamonn,An Spideal,,Co. na Gaillimhe, ",  
,  Gaynor Architectural & Design Services ,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/183026/0,,"Fallon Avenue,,Roscommon,,Co. Roscommon.",
,c/o Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1829/0,,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1830/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
 ,"    Morris Lohan & Associates,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1828/0, ,"Consulting Engineers Ltd.,,22 Castle View Terrace,,Castle Street,,Roscommon Town, Co. Roscommon.",  
,  Malachi Cullen Consulting Engineers,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1827/0,,"Old Bridge House,,Strand Street,Athlone,,Co. Westmeath",
 ,"  C/O PATRICK LITTLE, AXIS ARCHITECTURE",http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1834/0,057-93-29628,"19 HIGH STREET,TULLAMORE,CO. OFFALY, ",  
,c/o Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1830/0,,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",
,C/O JOE ERRITY,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1832/0,057-91-20260,"LISHEEN,BIRR,CO OFFALY , ",
 ,"  P J  Moran,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/183/0, ,"Highfield,,Four Roads,,Roscommon., ",  
 ,  JACQUELINE FELD,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1830/0, ,"ARTHUR GIBNEY & PARTNERS ARCHITECTS,5 ROSEMOUNT TERRACE,DUNDRUM ROAD,DUBLIN 14",  
 ,"  C/O PATRICK LITTLE, AXIS ARCHITECTURE",http://www.eplanning.ie/OffalyCC/AppFileRefDetails/183/0,057-93-29628,"19 HIGH STREET,TULLAMORE,CO. OFFALY, ",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1829/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
,C/O JOE ERRITY,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1831/0,057-91-20260,"LISHEEN,BIRR,CO OFFALY , ",
 ,  Noel Gorman - GormanCad,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1828/0,0911876725,"16 Dunard,Craughwell,Galway, ",  
,C/O DEREK COULTER,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1829/0,057-9120940,"ARCHITECTURAL & DESIGN SERVICES,HILLSIDE,BIRR,CO. OFFALY",  
0429331832,  P. Herr & Associates,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1846/0,0429330019,"Civil Engineers & Building Surveyors,2 Jocelyn Place,Dundalk,Co. Louth",  
,Mr Declan Flood,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1845/0,,"38 Seafield Lawns,Dundalk,Co Louth, ",
 ,"  C/O PATRICK LITTLE, AXIS ARCHITECTURE",http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1833/0,057-93-29628,"19 HIGH STREET,TULLAMORE,CO. OFFALY, ",  
 ,  EAMONN REABURN,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1840/0,041-9826305,"FUNSHOG,COLLON,CO. LOUTH, ",  
 ,    KENNY LYONS & ASSOCIATES ARCHITECTS,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1828/0,057 93 24241,"BLOCK 6, CENTRAL BUSINESS PARK,CLONMINCH,TULLAMORE,CO. OFFALY",  
 ,  Paul   Martin,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1844/0, ,"Arthurstown,Ardee,Co Louth, ",  
091 850102,c/o Paddy Kennedy,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1862/0,091 850101,"Slieverue,Athenry,Co. Galway, ",
 ,    McNamee Chartered Building Surveyors,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1841/0,0429386478,"Excelsior House,Jocelyn Place,Dundalk,Co. Louth",  
 ,  Sean Dockry,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1863/0,091-568522,"Second Floor,Corbett House,Shoemaker lane,Edward Square Galway",  
 ,  Joseph Cotter,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1842/0, ,"19 Ard na Si,Lis na Dara, Carrick Road,Dundalk,Co Louth",  
,c/o Mr Vincent Costello,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1861/0,,"New Inn,Ballinasloe,Co. Galway , ",
065 684 0199,  P. Coleman & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1860/0,065 682 9731,"Bank Place,Ennis ,Co Clare, ",  
 ,    Fingleton White & Co. Ltd.,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1853/0,0578665400,"Robbie Quinn,c/o Fingleton White & Co. Ltd.,Bridge Street Centre,Portlaoise, Co. Laois",  
 ,    Fingleton White & Co. Ltd.,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1855/0,0578665400,"Robbie Quinn,c/o Fingleton White & Co. Ltd.,Bridge Street Centre,Portlaoise, Co. Laois",  
 ,  Aidan  Geraghty,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1852/0,041-9826303,"Greenlanes,Dromin, Dunleer,Co. Louth, ",  
 ,    Fingleton White & Co. Ltd.,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1854/0,0578665400,"Robbie Quinn,c/o Fingleton White & Co. Ltd.,Bridge Street Centre,Portlaoise, Co. Laois",  
 091 750007, c/o   MJ Designs,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1870/0, 091 750006,"23 Kilkerrin Park,Liosbaun Estate,Tuam Road,Galway",  
, BERNARD DOWDALL,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1843/0,,"CARRICKEDMOND,KILCURRY,DUNDALK,CO LOUTH",
 ,  c/o Keith Hevican,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1869/0, ,"Gray Office Park,Galway Retail Park,Headford Road,Galway",  
 ,Mr Jimmy Cunningham,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/187/0,090-9745619,"Curra,Kylebrack,Loughrea,Co. Galway",  
 ,  Seán Dockry & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1868/0,091 568522,"2nd Floor,Corbett House,Shoemaker lane,Edward Square, Galway",  
,c/o Cyril J Kelly,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1867/0,091 758530,"Unit 29 ,Kilkerrin Pk,Liosbaun,Tuam Rd, Galway",
 ,    Hall Black Douglas Architects,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1851/0, ,"152 Albert Bridge Road,Belfast,BT5 4GS, ",  
 ,"  Cunnane, Stratton Reynolds",http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1865/0,01 6610419,"3 Molesworth Place,Dublin 2 , , ",  
 ,    Foster Associates,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1850/0, ,"Dean Hill,Hayes,Navan,Co Meath",  
091 848727,c/o Raymond Kenny & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1866/0,091 846727,"Coldwood,Craughwell,Co. Galway, ",  
094 9643376,  & Associates Deane ,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1872/0,094 9643079,"Old Church Road,Williamstown,Co Galway, ",  
091 388976,C/o  S. Hanniffy & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1871/0, ,"Cottage,Maree,Oranmore,Co. Galway",  
 ,  Emmet O'Donnell,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1864/0,087-807069,"Seaview,Carrowbaun,Westport,F28 E223",  
 ,  Site 4,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1881/0,061-306688 ,"4Site,Raheen Business Park,Limerick, ",  
 ,    MCKEVITTS ARCHITECTS,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1864/0,041-9832950,"50 NORTH ROAD,DROGHEDA,CO. LOUTH, ",  
,    Van Dijk Architects,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1862/0,,"Mill House,Mill Street,Dundalk, Co Louth",
0429326918,  Denis  Williams Design Services Ltd,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1860/0,0429326917,"Block2 Quayside Business Park,Mill Street,Dundalk,County Louth",  
,  c/o Gabriel  McHugh,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1879/0,,"Castletown,Tuam,Co Galway, ",  
,  GERARD RUST,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1861/0,,"DUNBIN,KNOCKBRIDGE,DUNDALK,CO LOUTH",
,c/o Vincent Burke,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1878/0,,"Ballybaun,Ballinamore Bridge,Ballinasloe, Co. Galway, ",
,c/o Martin Giblin,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/186/0,,"Ballygar Road,Mountbellew, Co. Galway, ",
 ,    Thornton O'Connor Town Planning,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1858/0, ,"1 Kilmacud Road Upper,Dundrum,Dublin 14, ",  
 ,"  Colm G.   Holmes & Associates Ltd.,",http://www.eplanning.ie/LouthCC/AppFileRefDetails/1857/0,042 9380557,"Bearna,Jenkinstown,Dundalk,Co. Louth",  
 ,  Colin Murphy,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1873/0, ,"Templetown East,Carlingford,Co. Louth,A91KF74",  
,c/o Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1887/0,,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",
,c/o Ignatius T. Greaney,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/189/0,,"Clarig,Kilcolgan,Co. Galway",
,    Van Dijk Architects,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1856/0,,"Mill House,Mill Street,Dundalk, Co Louth",
 ,  Martin Giblin,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1883/0, ,"Ballygar Road,Mountebellew,Co. Galway, ",  
 ,  John Dineen,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1872/0, 0419826299,"Cordoogan,Monasterboice,Co. Louth, ",  
 ,  Site 4,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1882/0,061-306688 ,"4Site,Raheen Business Park,Limerick, ",  
, BERNARD DOWDALL,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1870/0,,"CARRICKEDMOND,KILCURRY,DUNDALK,CO LOUTH",
,c/o G Donal Burke,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1885/0,,"Church Hill,Ballinasloe,Co Galway, ",
,c/o Oliver Ruane,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1886/0,,"Fohenagh,Ahascragh,Ballinasloe,Co. Galway",
 ,    MCKEVITTS ARCHITECTS,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1869/0,041-9832950,"50 NORTH ROAD,DROGHEDA,CO. LOUTH, ",  
 ,  John Dineen,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1867/0, 0419826299,"Cordoogan,Monasterboice,Co. Louth, ",  
 ,  Noel Gorman - GormanCad,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1884/0,0911876725,"16 Dunard,Craughwell,Galway, ",  
 ,    HQ Building Design,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1863/0,00442830493008,"Level 1 ,6 St Colman's Park,Newry,County Down",  
 ,Mr. Ken Babington,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1877/0, ,"Oriel Hub,Finnabair Business Park,Dundalk,Co. Louth",  
 ,    Colm G Holmes & Associates Ltd.,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1868/0,0429380557,"""Bearna"",Jenkinstown,Dundalk,Co. Louth",  
,  NOEL MC GAHON,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1874/0,087-2359206,"ESSEXFORD,DUNDALK,CO LOUTH, ",
0429663084,  Kenneth D. Lonergan & Associated Ltd,http://www.eplanning.ie/LouthCC/AppFileRefDetails/189/0,0429663377,"Shercock Road,Carrickmacross,County Monaghan, ",  
 ,  Robbie Quinn,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1876/0,0578665400,"c/o Fingleton White,Bridge Street Centre,Portlaoise,Co. Laois",  
 ,  John Diskin & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1877/0, ,"Stradbally North,Clarinbridge,Co. Galway, ",  
, BERNARD DOWDALL,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1866/0,,"CARRICKEDMOND,KILCURRY,DUNDALK,CO LOUTH",
 ,  Niall   Montgomery & Partners Architec,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1859/0,01 2121800,"33 Rock Road,Williamstown,Blackrock,Co Dublin",  
,c/o Cyril J Kelly,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1874/0,091 758530,"Unit 29 ,Kilkerrin Pk,Liosbaun,Tuam Rd, Galway",
 ,    Thornton O'Connor Town Planning,http://www.eplanning.ie/LouthCC/AppFileRefDetails/185/0, ,"1 Kilmacud Road Upper,Dundrum,Dublin 14, ",  
 ,  c/o Corbwell Design,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1876/0,0818332200,"Suite 1, Unit 17,Claregalway Corporate Pk,Claregalway, ",  
,  Florence Shields,http://www.eplanning.ie/LouthCC/AppFileRefDetails/187/0,041 9881812,"Garrolagh,Clogherhead,Co Louth, ",  
 ,c/o   Sean Dockry & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1873/0,091 568522,"2nd Floor, Corbett House,,Shoe Maker Lane,,Edward Square,,Galway",  
065 684 0199,  P. Coleman & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1858/0,065 682 9731,"Bank Place,Ennis ,Co Clare, ",  
 ,  Oliver Higgins,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1856/0,091 790748,"Unit 4b,Oranmore Business Park,Oranmore,Co. Galway",  
 ,  Paddy Byrne,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1847/0, ,"108 Appleton Park,Belfast,BT11 9JF, ",  
065 684 0199,  P. Coleman & Associates,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1859/0,065 682 9731,"Bank Place,Ennis ,Co Clare, ",  
 ,    Reddy Architecture + Urbanism,http://www.eplanning.ie/LouthCC/AppFileRefDetails/184/0, ,"41 Dean Street,Kilkenny, , ",  
 ,  Noel O'Brien,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1855/0, ,"Mountbellew,Ballinasloe,Co. Galway, ",  
 ,"  Michael Malone, Ceardean Architects",http://www.eplanning.ie/LouthCC/AppFileRefDetails/1849/0, ,"9 Dolphins Barn,Dublin 8, , ",  
 ,c\o  Laurence Conroy,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1875/0,086 8254511,"Killimor,Ballinasloe,Co. Galway, ",  
0429331832,  P. Herr & Associates,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1838/0,0429330019,"Civil Engineers & Building Surveyors,2 Jocelyn Place,Dundalk,Co. Louth",  
,  Gerard Hanniffy,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/1857/0,,"Suite 21,Orantown Centre,Oranmore,Co. Galway",  
 ,    Dublin Design Studio,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1839/0,0868239906,"19 Docklands Innovation Park,East Wall Road,East Wall,Dublin 3",  
053 94 22504,    Arthur O'Leary & Associates,http://www.eplanning.ie/WicklowCC/AppFileRefDetails/1833/0,053 94 22216,"81 Main Street,Gorey,Co. Wexford, ",  
